Name,Birthname,Gender,Date of Birth,Place of Birth,Timezone,Data Source,Rodden Rating,Collector,Sun Position,Moon Position,Asc pos,Career 
"Haize, Lucien",Lucien Albert Fernand Amédée Haize,M,20 September 1932 at 22:00(= 10:00 PM ),"Le Plessis-Lastelle, France,49n1655,  1w2529",GDT,BC/BR in hand,AA,Geslain,27°40,03°51,13°07, Sports Business 
"Hajek-Halke, Heinz",Heinz Richard Paul Hajek-Halke,M,1 December 1898 at 00:15(= 12:15 AM ),"Berlin, Germany,52n29,  13e21",MET,BC/BR in hand,AA,Scholfield,08°50,09°24,17°26, Art 
"Haji, Ali",,M,30 October 1999 at 17:30(= 5:30 PM ),"Mumbai, India,18n58,  72e50",IST,From memory,A,Seth,06°37,23°44,26°42, Entertainment 
"Haji Al-Muhtadee Billah, Prince",,M,17 February 1974 at 11:45(= 11:45 AM ),"Bandar Seri Begawan, Brunei,4n56,  114e55",AWST,BC/BR in hand,AA,Scholfield,28°06,02°42,21°58,
"Hakulinen, Jussi",Jussi Pekka Hakulinen,M,21 December 1964 at 23:30(= 11:30 PM ),"Pori, Finland,61n29,  21e47",EET,From memory,A,Steinbrecher,00°04,09°18,20°46, Entertain/Music 
"Halaevalu Mataʻaho, Princess of Tonga",,F,12 July 2014 at 07:49(= 07:49 AM ),"Auckland, New Zealand,36s52,  174e46",NZST,News report,A,Scholfield,19°26,10°13,22°39,
"Halama, Loda","Halama, Leokadia",F,20 July 1911 at 00:00(= 12:00 midnight ),"Czerwinsk nad Wisla, Poland,52n24,  20e19",LST,Bio/autobiography,B,PTA,26°06,05°11,24°48, Entertainment 
"Halard-Decugis, Julie",Clotilde Julie Halard,F,10 September 1970 at 08:15(= 08:15 AM ),"Versailles, France,48n48,  2e08",MET,BC/BR in hand,AA,Geslain,17°10,06°00,07°08, Sports 
"Halbe, Max",,M,4 October 1865 at 01:00(= 01:00 AM ),"Danzig, Poland,54n23,  18e40",LMT,Accuracy in question,C,Taeger,10°46,27°18,17°57, Writers 
"Halberkann, Philipp",Philipp Josef Halberkann,M,17 January 1880 at 02:00(= 02:00 AM ),"Xanten, Germany,51n39,  6e26",LMT,Quoted BC/BR,AA,Gauquelin,26°23,01°17,09°07, Science 
"Halberstädter, Ludwig",,M,9 December 1876 at 11:30(= 11:30 AM ),"Bytom, Poland,50n22,  18e54",LMT,BC/BR in hand,AA,Starkman,17°45,04°16,19°54, Education 
"Halbert, Frank Earl",,M,19 March 1871 at 02:34(= 02:34 AM ),"Cortland, New York,42n36,  76w11",LMT,From memory,A,Rodden,28°17,06°10,10°58, Occult Fields 
"Halbert, Thomas",,M,20 March 1997 at 11:27(= 11:27 AM ),"Asheville, North Carolina,35n36,  82w33",EST,From memory,A,Scholfield,00°06,21°52,00°29, Beauty 
"Halbin, Maurice","Halbin, Maurice Onesime",M,28 January 1898 at 11:30(= 11:30 AM ),"Paris, France,48n52,  2e20",PMT,Quoted BC/BR,AA,Petitallot,08°37,25°54,26°13, Military 
"Halbo, Sverre Matheson",,M,25 December 1899 at 06:00(= 06:00 AM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,03°14,03°42,25°02, Business 
"Halbronn, Jacques",Jacques Emile Rene Halbronn,M,1 December 1947 at 11:25(= 11:25 AM ),"Paris, France,48n52,  2e20",MET,BC/BR in hand,AA,Geslain,08°23,20°10,18°42, Occult Fields 
"Hald, Finn",,M,8 July 1929 at 19:00(= 7:00 PM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,16°03,12°46,13°05, Art 
"Haldane, J.B.S.","Haldane, John Burdon Sanderson",M,5 November 1892,"Oxford, England,51n46,  1w15",GMT,Date w/o time,X,Starkman,,,, Science 
"Haldane, John Scott",,M,2 May 1860 at 12:00(= 12:00 noon ),"Edinburgh, Scotland,55n57,  3w13",GMT,Quoted BC/BR,AA,Wright,12°16,04°20,25°17, Science 
"Haldane, Richard Burdon",,M,30 July 1856 at 15:30(= 3:30 PM ),"Edinburgh, Scotland,55n57,  3w13",GMT,Quoted BC/BR,AA,Taeger,07°34,22°59,27°58, Humanities+Social Sciences 
"Haldeman, H.R.",Harry Robbins Haldeman,M,27 October 1926 at 03:30(= 03:30 AM ),"Los Angeles, California,34n03,  118w15",PST,BC/BR in hand,AA,Wilsons,03°17,22°20,29°25, Business/Marketing 
"Haldeman, Lon",,M,27 March 1958 at 09:45(= 09:45 AM ),"Harvard, Illinois,42n25,  88w37",CST,From memory,A,Rodden,06°28,26°43,25°50, Sports 
"Halder, Franz",,M,30 June 1884 at 22:45(= 10:45 PM ),"Würzburg, Germany,49n48,  9e56",LMT,Quoted BC/BR,AA,Gauquelin,09°25,16°52,09°26, Military 
"Hale, Alan Jr.",Alan Hale MacKahan,M,8 March 1921 at 05:40(= 05:40 AM ),"Los Angeles, California,34n03,  118w15",PST,BC/BR in hand,AA,Scholfield,17°27,04°02,03°34, Business 
"Hale, Barbara",Barbara Bernice Hale,F,18 April 1922 at 09:30(= 09:30 AM ),"De Kalb, Illinois,41n56,  88w45",CST,BC/BR in hand,AA,Scholfield,27°48,23°23,11°08, Beauty 
"Hale, Chanin",Marilyn Victoria Chanine Hale,F,3 September 1936 at 11:35(= 11:35 AM ),"Dayton, Ohio,39n46,  84w12",EST,Rectified from approx. time,C,Scholfield,10°58,11°08,15°25, Beauty 
"Hale, Edward Everett",,M,3 April 1822 at 06:00(= 06:00 AM ),"Boston, Massachusetts,42n22,  71w04",LMT,Accuracy in question,C,Scholfield,13°07,08°04,19°54, Humanities+Social Sciences 
"Hale, Georgina",,F,4 August 1943 at 16:05(= 4:05 PM ),"London, England,51n30,  0w10",BDST,Rectified from approx. time,C,Rodden,11°19,18°32,21°28, Entertainment 
"Hale, Leon",Carol Leon Hale,M,30 May 1921 at 22:50(= 10:50 PM ),"Stephenville, Texas,32n13,  98w12",CST,BC/BR in hand,AA,Scholfield,09°11,23°41,26°32, Military 
"Hale, Lzzy",Elizabeth Mae Hale,F,10 October 1983 at 14:40(= 2:40 PM ),"Meadowbrook (Montgomery County), Pennsylvania,40n07,  75w05",EDT,From memory,A,Scholfield,16°53,12°11,22°28, Entertain/Music 
"Hale, Lucy",Karen Lucille Hale,F,14 June 1989 at 11:03(= 11:03 AM ),"Memphis, Tennessee,35n09,  90w03",CDT,BC/BR in hand,AA,Viktor,23°34,00°26,29°48, Entertainment 
"Hale, Nathan",,M,6 June 1755 at 05:00(= 05:00 AM ),"Coventry, USA,41n46,  72w18",LMT,Conflicting/unverified,DD,Rodden,15°14,06°01,22°42, Law 
"Hale, Robert",Robert Wallace Hale,M,22 August 1933 at 20:45(= 8:45 PM ),"Kerrville, Texas,30n03,  99w08",CST,BC/BR in hand,AA,Scholfield,29°31,21°54,04°27, Entertainment 
"Hale, Ron",,M,24 September 1948 at 02:43(= 02:43 AM ),"Aberdeen, Washington,46n59,  123w49",PDT,Quoted BC/BR,AA,Rodden,01°14,09°06,11°59, Business 
"Hale-White, William",,M,7 November 1857 at 22:00(= 10:00 PM ),"London, England,51n30,  0w10",GMT,Quoted BC/BR,AA,Scholfield,15°29,06°02,08°42, Medical 
"Hale Sr., Alan","MacKahan, Rufus Edward",M,10 February 1892 at 15:00(= 3:00 PM ),"Washington Monument, USA,38n53,  77w02",EST,Orig source not known,C,Rodden,21°36,28°31,20°33, Entertainment 
"Halen, Axton",Axton Joseph Halen,M,10 May 2017 at 05:45(= 05:45 AM ),"New York, New York,40n43,  74w0",EDT,From memory,A,Scholfield,19°56,14°26,18°44,
"Halen, Carl",Carl Henry Halen,M,10 June 1928 at 13:35(= 1:35 PM ),"Hamilton (Butler County), Ohio,39n24,  84w34",EST,BC/BR in hand,AA,Steinbrecher,19°36,13°41,02°27, Entertain/Music 
"Hales, Blossom",Blossom Mary Hales,F,20 May 2005 at 02:51(= 02:51 AM ),"London, England,51n30,  0w10",GDT,News report,A,Scholfield,29°10,11°20,19°04,
"Haley, Alex",Alexander Murray Palmer Haley,M,11 August 1921 at 04:55(= 04:55 AM ),"Ithaca, New York,42n26,  76w30",EDT,Quoted BC/BR,AA,CAH,18°08,27°20,03°06, Military 
"Haley, Bill",William John Clifton Haley,M,6 July 1925 at 14:30(= 2:30 PM ),"Highland Park (Wayne County), Michigan,42n24,  83w06",EST,Bio/autobiography,B,Scholfield,14°10,22°51,03°54, Entertain/Music 
"Haley, Boyd",Boyd Eugene Haley,M,22 September 1940 at 07:30(= 07:30 AM ),"Greensburg, Indiana,39n20,  85w29",CST,BC/BR in hand,AA,Scholfield,29°23,04°16,22°40, Education 
"Haley, Claude",Claude Denis Joseph Haley,M,30 April 1923 at 05:00(= 05:00 AM ),"Valognes, France,49n31,  1w28",GMT,BC/BR in hand,AA,Geslain,08°50,29°01,11°57, Art 
"Haley, Jack",,M,27 January 1964,"Long Beach, California,33n46,  118w11",PST,Date w/o time,X,Conrad,,,, Sports 
"Haley, Jack Jr.",John Joseph Haley III,M,25 October 1933 at 15:21(= 3:21 PM ),"Los Angeles, California,34n03,  118w15",PST,Quoted BC/BR,AA,Rodden,02°06,02°39,23°40, Entertain/Business 
"Haley, John C.",,M,24 July 1929 at 10:00(= 10:00 AM ),"Akron, Ohio,41n05,  81w31",EST,Quoted BC/BR,AA,Steinbrecher,01°12,02°45,26°18, Business 
"Halff, Mayer",Meyer Halff,M,6 February 1836 at 20:00(= 8:00 PM ),"Lauterbourg, France,48n59,  8e11",LMT,BC/BR in hand,AA,Scholfield,17°07,05°38,19°48, Misc. 
"Halgand, Patrice",,M,2 March 1974 at 18:45(= 6:45 PM ),"St.Nazaire, France,47n17,  2w12",MET,BC/BR in hand,AA,Geslain,11°46,24°33,10°53, Sports 
"Halifax, Lord","Halifax, Edward Frederick Lindley Wood",M,16 April 1881 at 10:00(= 10:00 AM ),"Devon, England,50n45,  3w50",GMT,Conflicting/unverified,DD,Rodden,26°32,21°05,19°04, Politics 
"Halik, Tony","Halik, Mieczyslaw Antoni Sedzimir",M,24 January 1921 at 05:00(= 05:00 AM ),"Torun, Poland,53n02,  18e35",EET,Bio/autobiography,B,PTA,03°36,05°55,06°50, Entertainment 
"Halimi, André",André René Benhas Halimi,M,28 April 1930 at 03:30(= 03:30 AM ),"Béja, Tunisia,36n44,  9e11",MET,BC/BR in hand,AA,Geslain,07°05,28°33,17°13, Entertain/Business 
"Halimi, Giselle","Halimi, Zeiza Giselle Elise Taieb",F,27 July 1927 at 16:30(= 4:30 PM ),"La Goulette, Tunisia,36n49,  10e18",MET,Quoted BC/BR,AA,Petitallot,03°36,20°29,19°29, Law 
"Hall, Arsenio",,M,12 February 1956 at 03:18(= 03:18 AM ),"Cleveland, Ohio,41n30,  81w42",EST,BC/BR in hand,AA,Przybylowski,22°36,27°39,14°02, Entertainment 
"Hall, Bri",,F,23 May 1994 at 20:30(= 8:30 PM ),"New York, New York,40n43,  74w00",EDT,From memory,A,Scholfield,02°38,16°41,06°56,
"Hall, Carol",Carol Grisham Hall,F,3 April 1936 at 15:00(= 3:00 PM ),"Abilene, Texas,32n27,  99w44",CST,Rectified from approx. time,C,Scholfield,13°56,10°25,23°48, Entertain/Music 
"Hall, Charles Maurice",,M,5 October 1924 at 03:55(= 03:55 AM ),"Honolulu, Hawaii,21n18,  157w52",HST,Quoted BC/BR,AA,Steinbrecher,12°04,12°01,13°36, Military 
"Hall, Charlie",,M,30 May 1997 at 07:56(= 07:56 AM ),"Los Angeles Cedars Sinai Hospital, California,34n0431,  118w2251",PDT,News report,A,Rodden,09°14,26°16,09°41, Entertainment 
"Hall, Christopher",,M,30 March 1957 at 21:00(= 9:00 PM ),"London, England,51n30,  0w10",GMT,Rectified from approx. time,C,Scholfield,09°54,04°07,07°04, Entertain/Business 
"Hall, Conrad",Conrad Lafcadio Hall,M,21 June 1926 at 05:00(= 05:00 AM ),"Papeete, French Polynesia,17s32,  149w34",-10,BC/BR in hand,AA,Scholfield,29°28,05°30,08°56, Art 
"Hall, Deidre",Deidre Anne Hall,F,31 October 1947 at 03:56(= 03:56 AM ),"Milwaukee, Wisconsin,43n02,  87w54",CST,BC/BR in hand,AA,Rodden,07°08,27°17,07°44, Entertainment 
"Hall, Delton",Delton Dewayne Hall,M,16 January 1965,"Greensboro, North Carolina,36n04,  79w48",EST,Date w/o time,X,Lehman,,,, Sports 
"Hall, Ellen",Ellen Joanna Johnson,F,18 April 1923 at 09:10(= 09:10 AM ),"Los Angeles, California,34n03,  118w15",PST,BC/BR in hand,AA,Scholfield,27°39,24°18,01°54, Beauty 
"Hall, Ferrakohn",Ferrakohn Edward Scruggs,M,20 September 1990 at 14:03(= 2:03 PM ),"Memphis, Tennessee,35n09,  90w03",CDT,News report,A,Scholfield,27°34,18°08,27°34, Sports 
"Hall, Florence",,F,21 February 1913 at 07:50(= 07:50 AM ),"Stamford, Connecticut,41n03,  73w32",EST,From memory,A,Rodden,02°19,08°43,29°39, Occult Fields 
"Hall, Floyd D.",Floyd D. Hall,M,4 April 1916 at 13:30(= 1:30 PM ),"Lamar, Colorado,38n05,  102w37",MST,Quoted BC/BR,AA,Steinbrecher,14°44,10°51,17°49, Business 
"Hall, Gary Sr.","Hall, Gary Wayne",M,7 August 1951 at 12:28(= 12:28 PM ),"Fayetteville, North Carolina,35n03,  78w53",EST,BC/BR in hand,AA,Steinbrecher,14°24,09°38,10°13, Sports 
"Hall, Gary Jr.","Gary Wayne Hall, Jr.",M,26 September 1974,"Cincinnati, Ohio,39n10,  84w27",EDT,Date w/o time,X,Conrad,,,, Sports 
"Hall, Irma P.",Irma Deloris Player,F,3 June 1935 at 10:15(= 10:15 AM ),"Beaumont, Texas,30n05,  94w06",CST,BC/BR in hand,AA,Scholfield,12°09,10°21,17°40, Entertainment 
"Hall, J.J.",,UNK,6 June 1876 at 19:00(= 7:00 PM ),"Washington, District of Columbia,38n54,  77w02",LMT,From memory,A,Rodden,16°32,16°19,12°48, Occult Fields 
"Hall, James Byron",,M,21 July 1918 at 11:30(= 11:30 AM ),"Midland, Ohio,39n18,  83w55",CWT,Quoted BC/BR,AA,Steinbrecher,28°05,00°24,09°49, Writers 
"Hall, Jane",,F,11 February 1950 at 06:40(= 06:40 AM ),"Abilene, Texas,32n27,  99w44",CST,News report,A,Scholfield,22°14,15°00,06°29, Education 
"Hall, Jim",James Ellis Hall,M,23 July 1935 at 04:50(= 04:50 AM ),"Abilene, Texas,32n27,  99w44",CST,BC/BR in hand,AA,Scholfield,29°39,07°44,16°47, Business 
"Hall, John",John Richard Hall,M,30 November 1932 at 22:29(= 10:29 PM ),"Dallas, Texas,32n47,  96w48",CST,BC/BR in hand,AA,Scholfield,08°47,22°44,18°04, Business 
"Hall, Jon","Locher, Charles Felix",M,26 February 1915 at 22:00(= 10:00 PM ),"Fresno, USA,36n44,  119w47",PST,BC/BR in hand,AA,Steinbrecher,07°34,05°53,29°40, Entertainment 
"Hall, Joseph",,M,1 July 1574 Jul.Cal. (11 July 1574 greg.) at 05:00(= 05:00 AM ),"Ashby-De-La-Zouch, England,52n46,  1w28",LMT,Bio/autobiography,B,Scholfield,18°11,14°15,00°16, Religion 
"Hall, Judy",,F,25 November 1943 at 21:23(= 9:23 PM ),"Walsall, England,52n35,  1w58",GDT,From memory,A,Liefeld,02°42,10°03,02°58, Healing Fields 
"Hall, Kahmora",Paul Tran,M,13 September 1991 at 21:30(= 9:30 PM ),"Chicago, Illinois,41n51,  87w39",CDT,Rectified from approx. time,C,Scholfield,20°48,00°39,22°03, Entertainment 
"Hall, Kenneth",Charles Kenneth Hall,M,13 December 1935 at 22:25(= 10:25 PM ),"Madisonville, Texas,30n57,  95w55",CST,BC/BR in hand,AA,Scholfield,21°15,10°05,27°35, Sports 
"Hall, Manly P.",Manly Palmer Hall,M,18 March 1901 at 05:00(= 05:00 AM ),"Peterborough, Ontario (CAN),44n18,  78w19",EST,From memory,A,Rodden,27°08,27°39,19°20, Education 
"Hall, Matt",Matthew James Hall,M,9 February 1987 at 11:10(= 11:10 AM ),"Newcastle, England,52n26,  3w06",GMT,From memory,A,Scholfield,20°10,01°36,05°42, Entertain/Music 
"Hall, Michael C.",Michael Carlyle Hall,M,1 February 1971 at 08:05(= 08:05 AM ),"Raleigh, North Carolina,35n46,  78w38",EST,BC/BR in hand,AA,Scholfield,12°02,28°24,27°25, Entertainment 
"Hall, Monty",Monte Halperin,M,25 August 1921 at 10:00(= 10:00 AM ),"Winnipeg, Manitoba (CAN),49n53,  97w09",CST,From memory,A,McKay-Clements,01°53,21°14,18°50, Entertainment 
"Hall, Philip Baker",,M,10 September 1931 at 04:50(= 04:50 AM ),"Toledo, Ohio,41n40,  83w33",EST,BC/BR in hand,AA,Viktor,16°43,21°48,00°34, Education 
"Hall, Randy",John Randolph Hall,M,21 March 1948 at 02:13(= 02:13 AM ),"Glendale (Los Angeles County), California,34n09,  118w15",PDT,Bio/autobiography,B,Craft,00°40,08°41,01°33,
"Hall, Sam",Samuel Wesley Hall,M,10 March 1937 at 18:17(= 6:17 PM ),"Dayton, Ohio,39n46,  84w12",EST,BC/BR in hand,AA,Steinbrecher,19°59,25°37,16°36, Sports 
"Hall, Sam B. Jr.",Sam Blakeley Hall Jr.,M,11 January 1924 at 08:20(= 08:20 AM ),"Marshall, Texas,32n33,  94w22",CST,BC/BR in hand,AA,Scholfield,20°06,23°44,05°28, Law 
"Hall, Stuart",,M,25 December 1929,"Ashton-Under-Lyne, England,53n29,  2w06",GMT,Date w/o time,X,Astrodienst,,,, Entertainment 
"Hall, Susan",,F,19 March 1943 at 04:30(= 04:30 AM ),"Point Reyes Station, California,38n04,  122w48",PWT,Quoted BC/BR,AA,Steinbrecher,27°59,29°53,26°27, Art 
"Hall, Tony",,M,1 April 1928 at 02:00(= 02:00 AM ),"Nailsworth, England,51n42,  2w14",GMT,From memory,A,Fisher,11°06,24°46,03°25, Business/Marketing 
"Hall, Trevor",,M,28 November 1986 at 07:06(= 07:06 AM ),"Greenwich, Connecticut,41n02,  73w38",EST,From memory,A,Craft,05°57,22°15,06°48, Entertain/Music 
"Hall, Vegard",,M,1 April 1899 at 19:00(= 7:00 PM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,11°48,19°15,12°50, Entertainment 
"Hall, Wade E.",,M,6 November 1921 at 03:15(= 03:15 AM ),"Clarksburg, West Virginia,39n17,  80w21",EST,From memory,A,Rodden,13°23,28°59,28°43, Occult Fields 
"Halla-aho, Jussi",,M,27 April 1971 at 18:15(= 6:15 PM ),"Tampere, Finland,61n30,  23e45",EET,From memory,A,Astrofinn,06°45,10°51,19°38, Politics 
"Hallab, Ali",,M,4 April 1981 at 23:30(= 11:30 PM ),"Mantes la Jolie, France,48n59,  1e43",MEDT,BC/BR in hand,AA,Geslain,15°01,15°43,18°41, Sports 
"Hallais, Jean-Claude",Jean-Claude Raoul Victor Hallais,M,28 July 1946 at 18:00(= 6:00 PM ),"Bacilly, France,48n4206,  1w2623",MET,BC/BR in hand,AA,Geslain,05°00,07°51,21°00, Sports 
"Hallais, Jean-William",Jean-William Emile Michel Hallais,M,1 February 1975 at 19:30(= 7:30 PM ),"Maisons Alfort, France,48n48,  2e26",MET,BC/BR in hand,AA,Geslain,12°16,23°26,01°52, Sports 
"Hallais, Joël",Joël Simon Flavion Hallais,M,19 August 1947 at 09:30(= 09:30 AM ),"Bacilly, France,48n4206,  1w2623",MET,BC/BR in hand,AA,Geslain,25°31,04°58,02°07, Sports 
"Hallberg, Cora",,F,2 December 1894 at 11:45(= 11:45 AM ),"Fort Kent, Maine,47n16,  68w35",EST,From memory,A,Rodden,10°33,10°03,28°53, Occult Fields 
"Hallberger, Eduard",Georg Eduard Hallberger,M,29 March 1822 at 11:30(= 11:30 AM ),"Stuttgart, Germany,48n46,  9e11",LMT,BC/BR in hand,AA,Scholfield,08°12,02°09,23°30, Business 
"Hallé, Charles",Karl Halle,M,10 April 1819 at 05:00(= 05:00 AM ),"Hagen/Westfalen, Germany,51n22,  7e28",LMT,Quoted BC/BR,AA,Scholfield,19°28,15°02,06°07, Entertain/Music 
"Halle, Felix",Felix Leo Halle,M,1 May 1884 at 02:45(= 02:45 AM ),"Berlin, Germany,52n29,  13e21",LMT,BC/BR in hand,AA,Scholfield,11°04,26°11,07°13, Education 
"Hallé, Francis",Francis Marie Noël Hallé,M,15 April 1938 at 18:30(= 6:30 PM ),"Seine Port, France,48n33,  2e33",GDT,BC/BR in hand,AA,Geslain,25°05,06°24,13°20, Science 
"Halle, Jesper",,M,12 April 1956 at 09:45(= 09:45 AM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,22°25,08°30,23°20, Writers 
"Halle, Morten",,M,7 October 1957 at 09:05(= 09:05 AM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,13°47,26°36,05°41, Education 
"Haller, Albin",,M,7 March 1849 at 15:00(= 3:00 PM ),"Fellering, France,47n5349,  6e5914",LMT,Quoted BC/BR,AA,Gauquelin,16°57,29°18,16°13, Science 
"Haller, Bernard",Bernard Guy Gérald Haller,M,5 December 1933 at 01:45(= 01:45 AM ),"Geneva, Switzerland,46n12,  6e09",MET,News report,A,Steinbrecher,12°27,14°43,00°35, Entertainment 
"Haller, Daniel",,M,14 September 1929 at 17:15(= 5:15 PM ),"Los Angeles, California,34n03,  118w15",PST,BC/BR in hand,AA,Scholfield,21°43,06°31,05°49, Art 
"Haller, Hermann",,M,24 December 1880 at 02:00(= 02:00 AM ),"Bern, Switzerland,46n57,  7e26",BMT,Bio/autobiography,B,Scholfield,02°41,24°08,24°27, Art 
"Haller, Josef",,M,13 August 1873 at 22:40(= 10:40 PM ),"Skawina, Poland,49n59,  19e49",LMT,Orig source not known,C,PTA,21°07,04°36,00°41, Military 
"Haller, Margarete",Margarethe Deinet,F,1 August 1893 at 20:00(= 8:00 PM ),"Hamburg, Germany,53n33,  9e59",MET,BC/BR in hand,AA,Scholfield,09°40,26°47,05°39, Business/Marketing 
"Hallett, Jack",Jack Price Hallett,M,13 November 1914 at 11:35(= 11:35 AM ),"Toledo, Ohio,41n40,  83w33",CST,BC/BR in hand,AA,Steinbrecher,20°30,25°27,01°09, Sports 
"Halley, Edmond",,M,29 October 1656 Jul.Cal. (8 Nov 1656 greg.) at 13:20(= 1:20 PM ),"London, England,51n30,  0w10",LMT,From memory,A,Steinbrecher,16°53,04°29,13°37, Education 
"Halley, Paul-Louis",Paul-Louis Jean Henri Marie Halley,M,11 September 1934 at 06:00(= 06:00 AM ),"Cherbourg, France,49n39,  1w39",GDT,BC/BR in hand,AA,Geslain,17°46,12°50,10°28, Business 
"Hallgarten, Charles",Karl Lazarus Hallgarten,M,18 November 1838 at 09:30(= 09:30 AM ),"Mainz, Germany,50n01,  8e16",LMT,Quoted BC/BR,AA,Scholfield,25°38,07°31,19°50, Business 
"Hallgren, Siv",,F,25 August 1964 at 16:40(= 4:40 PM ),"Oslo, Norway,59n55,  10e45",CEST,BC/BR in hand,AA,Viktor,02°24,01°21,11°29, Law 
"Halliburton, Richard",,M,9 January 1900 at 14:30(= 2:30 PM ),"Brownsville (Haywood County), USA,35n36,  89w16",CST,Conflicting/unverified,DD,Rodden,19°11,09°36,15°47, Travel 
"Halliday, Thomas S.",Thomas Symington Halliday,M,11 April 1902 at 12:00(= 12:00 noon ),"Thornhill, Scotland,55n15,  3w46",GMT,Quoted BC/BR,AA,Steinbrecher,20°40,00°51,10°01, Art 
"Iacchetti, Enzo",Vincenzo Iacchetti,M,31 August 1952 at 03:10(= 03:10 AM ),"Castelleone, Italy,45n18,  9e46",MET,Quoted BC/BR,AA,Bordoni,07°37,11°10,08°25, Entertainment 
"Iacocca, Lee",Lido Anthony Iacocca,M,15 October 1924 at 17:00(= 5:00 PM ),"Allentown, Pennsylvania,40n37,  75w29",EST,BC/BR in hand,AA,Rodden,22°16,27°17,14°55, Business 
"Iacopino, Vincenzo",,M,9 August 1976 at 11:40(= 11:40 AM ),"Ventimiglia, Italy,43n47,  7e36",CEST,Quoted BC/BR,AA,Bordoni,16°55,09°48,15°51, Sports 
"Ian, Janis",Janis Eddy Fink,F,7 April 1951 at 14:40(= 2:40 PM ),"Farmingdale (Monmouth County), New Jersey,40n12,  74w10",EST,Orig source not known,C,Lepoivre,17°11,03°00,03°04, Entertain/Music 
"Ian, Scott",Scott Ian Rosenfeld,M,31 December 1963 at 07:00(= 07:00 AM ),"Queens, New York,40n43,  73w52",EST,Bio/autobiography,B,Scholfield,09°05,23°17,03°10, Entertainment 
"Ianni, Patrick",Patrick Edward Joseph Ianni,M,15 June 1985 at 00:21(= 12:21 AM ),"Lodi, California,38n08,  121w16",PDT,News report,A,Scholfield,24°08,18°20,01°53, Sports 
"Ianni, Tayt",Tayt Richard Ianni,M,6 December 1971 at 15:29(= 3:29 PM ),"Lodi, California,38n08,  121w16",PST,News report,A,Scholfield,14°11,13°40,23°55, Business/Marketing 
"Iba, Moe",Henry Williams Iba,M,31 May 1939 at 07:00(= 07:00 AM ),"Oklahoma City, Oklahoma,35n28,  97w31",CST,News report,A,Scholfield,09°11,20°04,03°17, Sports 
"Ibañez, Raphaël",,M,17 February 1973 at 02:00(= 02:00 AM ),"Dax, France,43n43,  1w03",MET,Quoted BC/BR,AA,Geslain,28°14,23°21,24°10, Sports 
"Ibanez Mora, Enrique",,M,24 June 1903 at 12:00(= 12:00 noon ),"Guayaquil, Ecuador,2s10,  79w50",LST,Bio/autobiography,B,Castellanos,02°00,24°21,00°23, Entertain/Music 
"Ibarguengoitia, Jorge",,M,22 January 1928 at 12:00(= 12:00 noon ),"Guanajuato, Mexico,21n01,  101w15",CST,Quoted BC/BR,AA,Castellanos,01°29,00°18,25°15, Writers 
"Ibarra, Benny",Benito Raúl Ibarra Garza,M,11 October 1944 at 15:00(= 3:00 PM ),"Reynosa, Mexico,26n07,  98w18",CST,BC/BR in hand,AA,Scholfield,18°25,20°04,16°33, Entertainment 
"Ibarra, Rosario",María del Rosario Ibarra de la Garza,F,24 February 1927 at 10:20(= 10:20 AM ),"Saltillo, Mexico,25n25,  101w0",MST,Quoted BC/BR,AA,Castellanos,05°06,03°30,24°18, Politics 
"Ibarruri, Dolores",,F,9 December 1895 at 15:00(= 3:00 PM ),"Gallarta, Spain,43n19,  3w04",LMT,Quoted BC/BR,AA,Castellanos,17°20,21°43,24°15, Politics 
"Ibata, Neil",,M,16 February 1997 at 19:05(= 7:05 PM ),"Strasbourg, France,48n35,  7e45",MET,Quoted BC/BR,AA,de Jabrun,28°07,25°50,12°19, Science 
"Ibels, Henri-Gabriel",,M,30 November 1867 at 02:00(= 02:00 AM ),"Paris, France,48n52,  2e20",LMT,BC/BR in hand,AA,Geslain,07°26,19°59,06°10, Art 
"Ibert, Jacques",,M,15 August 1890 at 09:00(= 09:00 AM ),"Paris, France,48n52,  2e20",LMT,Quoted BC/BR,AA,Gauquelin,22°26,19°02,06°21, Business 
"Ibisz, Krzysztof",,M,25 February 1965 at 09:30(= 09:30 AM ),"Warsaw, Poland,52n15,  21e00",CET,From memory,A,PTA,06°32,29°37,05°31, Entertainment 
"Ibn Ziaten, Imad",,M,29 July 1981 at 11:20(= 11:20 AM ),"Mont St.Aignan, France,49n28,  1e05",MEDT,BC/BR in hand,AA,de Jabrun,06°10,12°55,28°34, Military 
"Ibos, Paul",Paul Lucien Raymond Ibos,M,18 August 1919 at 15:00(= 3:00 PM ),"Saigon, Vietnam,10n45,  106e40",SST,BC/BR in hand,AA,Geslain,24°19,19°58,07°00, Business 
"Ibrahim, Anwar",,M,10 August 1947,"Bukit Mertajam, Malaysia,5n22,  100e28",JVT,Date w/o time,X,Watt,,,, Politics 
